Elements: All (Neon - Fermium)
Transitions: K edge, L1 edge, L2 edge, and L3 edge
Sorted by Element

Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
U	238	L3 edge	17174.51	0.49	17171.37	0.50	17164.7	1.2				1,80d
Np	237	K edge	118674.2	3.8	118688.7	6.8						63,64d
Np	237	L1 edge	22433.6	1.8	22437.5	9.5						64, 79d
Np	237	L2 edge	21606.62	0.79	21615.0	9.9						64, 79d
Np	237	L3 edge	17616.94	0.50	17608.04	0.50						64,79,80d
Pu	239	K edge	121795.4	4.0	121790.17	0.96						64,67,77d
Pu	239	L1 edge	23111.9	1.8	23113	17						65d
Pu	239	L2 edge	22269.42	0.79	22270	10						65d
Pu	239	L3 edge	18060.02	0.51	18060	10						65d
Pu	244	K edge	121794.1	4.0								
Pu	244	L1 edge	23111.8	1.8	23109.5	6.4						1d
Pu	244	L2 edge	22269.47	0.79	22251.0	5.9						1d
Pu	244	L3 edge	18060.10	0.51	18055.99	0.35						1,80d
Am	241	K edge	124984.8	4.2	124986.1	4.5						66,63d
Am	241	L1 edge	23812.5	1.9	23808.0	3.0						66d
Am	241	L2 edge	22954.03	0.80	22952.0	3.0						66d
Am	241	L3 edge	18514.38	0.50	18510.0	3.0						66d
Am	243	K edge	124984.1	4.2								
Am	243	L1 edge	23812.4	1.9								
Am	243	L2 edge	22954.02	0.80								
Am	243	L3 edge	18514.37	0.50								
Cm	245	K edge	128242.8	4.4	128241.3	2.5						67,69,77d
Cm	245	L1 edge	24535.4	1.9	24515	21						68d
Cm	245	L2 edge	23660.98	0.80	23651	11						68d
Cm	245	L3 edge	18979.68	0.50	18970	11						68d
Cm	248	K edge	128241.7	4.4								
Cm	248	L1 edge	24535.2	1.9								
Cm	248	L2 edge	23660.96	0.80								
Cm	248	L3 edge	18979.69	0.50								
Bk	249	K edge	131561.4	4.5	131555.6	4.7						67,69,77d
Bk	249	L1 edge	25271.0	2.0	25272	25						70d
Bk	249	L2 edge	24380.68	0.90	24382	25						70d
Bk	249	L3 edge	19445.76	0.50	19449	30						70d
Bk	250	K edge	131560.9	4.5								
Bk	250	L1 edge	25270.9	2.0								
Bk	250	L2 edge	24380.67	0.90								
Bk	250	L3 edge	19445.76	0.50								
Cf	249	K edge	134957.1	4.7								
Cf	249	L1 edge	26033.4	2.0	26002.39	0.90						16d
